"","Company","mkt_cap","pe","employees","recommend"
"429","TFC","57.19B","9.88","52848",0
"430","TFX","10.53B","29.67","15500",1
"431","TGT","75.24B","27.32","450000",1
"432","TJX","87.81B","25.95","340000",1
"433","TMO","209.73B","31.46","130000",1
"434","TMUS","173.67B","61.58","71000",1
"435","TPR","10.04B","12.85","12600",1
"436","TRMB","12.20B","28.45","11825",1
"437","TROW","24.76B","16.85","7868",0
"438","TRV","41.17B","15.12","32500",0
"439","TSCO","24.96B","23.52","24000",1
"440","TSLA","555.81B","50.21","127855",1
"441","TSN","20.75B","8.69","142000",0
"442","TT","42.28B","25.26","39000",0
"443","TTWO","19.38B","-","7799",1
"444","TXN","158.24B","18.74","33000",0
"445","TXT","14.97B","18.21","34000",0
"446","TYL","13.29B","84.29","7200",1
"447","UA","3.94B","17.42","-",0
"448","UAA","3.94B","27.75","7100",1
"449","UAL","17.58B","26.04","92795",1
"450","UDR","13.57B","165.71","1317",1
"451","UHS","8.72B","13.43","71200",0
"452","ULTA","26.62B","23.04","16500",1
"453","UNH","438.21B","22.21","400000",1
"454","UNP","125.75B","18.15","33179",1
"455","UPS","157.41B","13.95","536000",1
"456","URI","32.49B","16.04","24600",1
"457","USB","68.47B","12.31","76646",0
"458","V","447.69B","31.05","26500",1
"459","VFC","9.35B","22.55","35000",0
"460","VICI","33.57B","26.94","23",1
"461","VLO","48.60B","4.56","9716",1
"462","VMC","23.69B","40.22","11397",1
"463","VNO","3.62B","-","3146",0
"464","VRSK","27.78B","28.36","7000",1
"465","VRSN","20.42B","31.77","914",1
"466","VRTX","73.38B","22.24","4800",1
"467","VTR","18.95B","-","451",1
"468","VTRS","12.64B","6.19","37000",0
"469","VZ","158.24B","7.42","117100",0
"470","WAB","18.85B","30.48","27000",0
"471","WAT","17.95B","26.38","8200",0
"472","WBA","29.15B","-","200000",0
"473","WBD","36.72B","-","37500",1
"474","WDC","12.04B","-","65000",1
"475","WEC","27.66B","20.04","7022",0
"476","WELL","36.19B","270.72","464",1
"477","WFC","162.60B","13.94","238000",1
"478","WHR","7.38B","-","61000",0
"479","WM","61.15B","27.8","49500",1
"480","WMB","36.35B","18.15","5043",1
"481","WMT","371.98B","32.32","2300000",1
"482","WRB","17.10B","13.16","8186",1
"483","WRK","7.85B","10.02","50500",0
"484","WST","23.23B","41.76","10700",1
"485","WTW","25.14B","25.22","46600",0
"486","WY","22.31B","12.21","9264",1
"487","WYNN","12.64B","-","27000",1
"488","XEL","35.00B","20.31","11982",0
"489","XOM","442.13B","8.29","62000",1
"490","XRAY","7.93B","-","15000",0
"491","XYL","18.05B","51.9","17800",0
"492","YUM","35.24B","27.75","23000",1
"493","ZBH","24.95B","88.4","18000",0
"494","ZBRA","15.61B","34.91","10500",1
"495","ZION","6.81B","8.06","9989",0
"496","ZTS","77.24B","37.52","13800",1
