,Date,X,USDHashprice,BTCHashprice,CoinPrice,StandardizedCloseUSDBTC,StandardizedCloseHashBTC,StandardizedClosePriceBTC,Close,StandardizedCloseMSTR,MarketCap,StandardizedMarketCap,BTCHoldings,StandardizedBitcoinHoldings
441,11/19/21,634,321.57,0.00561884,57230.67395,1.85359505,0.259071877,0.787908122,71.83,0.008674005,5616675020,-0.263408786,114042,-0.270051062
442,11/22/21,637,321.97,0.00561167,57375.07729,1.857578314,0.257073154,0.794153109,69,-0.025303408,5395386000,-0.276608854,114042,-0.270051062
443,11/23/21,638,320.19,0.0056253,56919.63095,1.839852792,0.260872679,0.774456498,69.68,-0.017139224,5448557920,-0.273437106,114042,-0.270051062
444,11/24/21,639,319.15,0.00562234,56764.62114,1.829496308,0.260047544,0.767752815,70.09,-0.012216701,5480617460,-0.271524729,114042,-0.270051062
445,11/26/21,641,314.69,0.00565096,55687.88312,1.785082922,0.26802571,0.721187308,66.3,-0.05772002,5184262200,-0.289202558,121044,-0.196997532
446,11/29/21,644,327.37,0.00568264,57608.78746,1.911352368,0.276856887,0.804260334,69.55,-0.018700023,5438392700,-0.274043469,121044,-0.196997532
447,11/30/21,645,327.1,0.0057022,57363.82449,1.908663665,0.282309469,0.793666461,72.14,0.012395912,5640915160,-0.261962842,121044,-0.196997532
448,12/1/21,646,329.51,0.0057397,57408.92381,1.932662826,0.292763041,0.795616864,70.55,-0.006693871,5516586700,-0.269379134,121044,-0.196997532
449,12/2/21,647,326.38,0.00575531,56709.36926,1.901493791,0.297114514,0.765363346,68.34,-0.033227468,5343777960,-0.279687315,121044,-0.196997532
450,12/3/21,648,319.24,0.00571325,55877.12773,1.830392542,0.285389789,0.729371538,63.1,-0.09613971,4934041400,-0.30412843,121044,-0.196997532
451,12/6/21,651,278.82,0.0057076,48850.65527,1.42788379,0.283814784,0.42549887,59.65,-0.137560937,4664272100,-0.320220386,121044,-0.196997532
452,12/7/21,652,290.67,0.00569719,51019.88875,1.545887964,0.280912872,0.519311344,62.82,-0.099501432,4912147080,-0.305434444,122478,-0.182036269
453,12/8/21,653,285.9,0.00568131,50322.90088,1.498387549,0.276486133,0.489168827,63.65,-0.089536325,4977048100,-0.301563046,122478,-0.182036269
454,12/9/21,654,279.58,0.00569674,49077.19152,1.43545199,0.28078743,0.435295845,59.19,-0.143083767,4628302860,-0.32236598,122478,-0.182036269
455,12/10/21,655,274.63,0.00569147,48252.91181,1.386159107,0.279318354,0.39964836,60.08,-0.132398291,4697895520,-0.318214722,122478,-0.182036269
456,12/13/21,658,252.88,0.00524583,48205.90831,1.169569168,0.1550909,0.397615607,57.16,-0.167456258,4469569040,-0.33183458,122478,-0.182036269
457,12/14/21,659,248.84,0.0052714,47205.67591,1.129338209,0.162218842,0.354358726,58.04,-0.156890843,4538379760,-0.327729965,122478,-0.182036269
458,12/15/21,660,253.5,0.00526676,48132.05842,1.175743226,0.160925387,0.394421833,59.86,-0.135039645,4680692840,-0.319240875,122478,-0.182036269
459,12/16/21,661,255.72,0.00526274,48590.6581,1.197850337,0.159804764,0.414254816,56.69,-0.173099149,4432817860,-0.334026817,122478,-0.182036269
460,12/17/21,662,248.02,0.00526856,47075.48173,1.121172519,0.161427158,0.34872824,57.16,-0.167456258,4469569040,-0.33183458,122478,-0.182036269
461,12/20/21,665,243.58,0.00524587,46432.71755,1.076958297,0.155102051,0.320930726,54.64,-0.197711763,4272520160,-0.343588704,122478,-0.182036269
462,12/21/21,666,254.81,0.00526231,48421.70074,1.188788413,0.159684896,0.406947946,56.75,-0.17237878,4437509500,-0.333746957,122478,-0.182036269
463,12/22/21,667,257.51,0.00525632,48990.54852,1.21567544,0.158015112,0.43154881,57,-0.169377242,4457058000,-0.332580874,122478,-0.182036269
464,12/23/21,668,258.01,0.00525501,49097.90847,1.220654519,0.157649934,0.436191788,59.72,-0.136720506,4669745680,-0.319893882,122478,-0.182036269
465,12/27/21,672,267.37,0.00523408,51082.52071,1.313862879,0.151815448,0.522019978,60.83,-0.123393677,4756541020,-0.314716471,122478,-0.182036269
466,12/28/21,673,257.75,0.00527456,48866.63532,1.218065398,0.16309973,0.426189957,56.8,-0.171778473,4441419200,-0.333513741,122478,-0.182036269
467,12/29/21,674,251.26,0.00528037,47583.78674,1.153436951,0.164719336,0.370710821,55.61,-0.186065795,4348368340,-0.339064299,124391,-0.162077486
468,12/30/21,675,248.77,0.00528162,47101.07884,1.128641138,0.165067789,0.349835234,56.23,-0.17862198,4396848620,-0.336172411,124391,-0.162077486
469,12/31/21,676,250.86,0.00530478,47289.42576,1.149453688,0.171523914,0.357980641,54.45,-0.199992932,4257663300,-0.344474928,124391,-0.162077486
470,1/3/22,679,245.16,0.0052362,46820.21313,1.092692187,0.152406423,0.337688682,55.83,-0.183424441,5314122720,-0.281456274,124391,-0.162077486
471,1/4/22,680,243.99,0.00525521,46428.21124,1.081041142,0.157705687,0.320735842,55.11,-0.192068871,5245590240,-0.285544291,124391,-0.162077486
472,1/5/22,681,241.33,0.00525793,45898.29077,1.054552441,0.158463919,0.297818461,50.91,-0.242494713,4845817440,-0.30939106,124391,-0.162077486
473,1/6/22,682,227.32,0.0052753,43091.38817,0.915038645,0.163306013,0.176428819,49.86,-0.255101174,4745874240,-0.315352753,124391,-0.162077486
474,1/7/22,683,220.9,0.00526031,41993.7228,0.85110727,0.159127372,0.12895827,48.3,-0.273830772,4597387200,-0.324210124,124391,-0.162077486
475,1/10/22,686,216.77,0.00520908,41613.87423,0.809980077,0.1448464,0.112531023,48.2,-0.275031387,4587868800,-0.324777904,124391,-0.162077486
476,1/11/22,687,220.68,0.00522809,42210.44397,0.848916475,0.150145664,0.138330774,50.66,-0.245496251,4822021440,-0.310810511,124391,-0.162077486
477,1/12/22,688,225.74,0.00522517,43202.42212,0.899304756,0.149331679,0.181230685,51.46,-0.235891329,4898168640,-0.306268269,124391,-0.162077486
478,1/13/22,689,226.39,0.00521232,43433.63416,0.905777558,0.145749589,0.191229873,48.96,-0.265906711,4660208640,-0.320462774,124391,-0.162077486
479,1/14/22,690,222.7,0.005208,42761.13671,0.869031955,0.144545337,0.16214649,49.96,-0.253900558,4755392640,-0.314784972,124391,-0.162077486
480,1/18/22,694,218.55,0.00521071,41942.46082,0.827705599,0.145300782,0.126741352,46.83,-0.291479817,4457466720,-0.332556493,124391,-0.162077486
481,1/19/22,695,218.27,0.00520694,41919.05419,0.824917314,0.14424985,0.125729089,46.04,-0.300964678,4382271360,-0.337041957,124391,-0.162077486
482,1/20/22,696,219.52,0.00520065,42210.10835,0.837365012,0.142496437,0.138316259,45.75,-0.304446462,4354668000,-0.338688519,124391,-0.162077486
483,1/21/22,697,187.13,0.00483719,38685.68322,0.51482027,0.041177636,-0.014103959,37.59,-0.402416669,3577966560,-0.385019385,124391,-0.162077486
484,1/24/22,700,167.26,0.00476425,35107.30965,0.316951668,0.020844743,-0.168857276,37.05,-0.408899992,3526567200,-0.388085398,124391,-0.162077486
485,1/25/22,701,174.49,0.00477854,36515.33732,0.388949151,0.024828251,-0.107964541,36.51,-0.415383314,3475167840,-0.391151411,124391,-0.162077486
486,1/26/22,702,179.19,0.00477653,37514.68116,0.435752494,0.024267939,-0.064746087,35.37,-0.429070329,3366658080,-0.397624106,124391,-0.162077486
487,1/27/22,703,174.17,0.00478957,36364.43355,0.38576254,0.027902994,-0.114490651,31.95,-0.470131371,3041128800,-0.417042189,124391,-0.162077486
488,1/28/22,704,177.13,0.00477986,37057.57072,0.415238688,0.025196216,-0.084514665,33.9,-0.446719373,3226737600,-0.405970475,125051,-0.155191549
489,1/31/22,707,179.71,0.00478304,37572.33893,0.440930736,0.026082679,-0.062252571,36.8,-0.41190153,3502771200,-0.389504849,125051,-0.155191549
490,2/1/22,708,184.7,0.00478799,38575.68625,0.490621945,0.027462551,-0.018860979,37.3,-0.405898454,3550363200,-0.386665948,125051,-0.155191549
491,2/2/22,709,182.28,0.00478979,38055.94817,0.466523203,0.027964322,-0.041338004,34.88,-0.434953344,3320017920,-0.400406229,125051,-0.155191549
492,2/3/22,710,175.79,0.00477469,36817.0499,0.401894756,0.023755017,-0.094916428,34.01,-0.445398697,3237207840,-0.405345917,125051,-0.155191549
493,2/4/22,711,184.45,0.00476848,38681.08915,0.488132406,0.022023906,-0.014302638,39.16,-0.383567009,3727405440,-0.376105236,125051,-0.155191549
494,2/7/22,714,205.7,0.00476939,43129.2052,0.699743266,0.022277579,0.178064286,41.35,-0.357273534,3935858400,-0.363670849,125051,-0.155191549
495,2/8/22,715,210.11,0.0047881,43881.70673,0.743658744,0.027493214,0.210607592,42.54,-0.342986213,4049127360,-0.356914264,125051,-0.155191549
496,2/9/22,716,210.46,0.00478813,43954.52922,0.747144099,0.027501577,0.213756934,44.66,-0.317533168,4250917440,-0.344877324,125051,-0.155191549
497,2/10/22,717,212.7,0.00479561,44353.06457,0.769450373,0.029586716,0.230992325,43.15,-0.335662459,4107189600,-0.353450805,125051,-0.155191549
498,2/11/22,718,207.65,0.00480799,43188.52577,0.719161675,0.033037789,0.180629712,41.1,-0.360275073,3912062400,-0.365090299,125051,-0.155191549
499,2/14/22,721,200.87,0.00475477,42245.99718,0.651645363,0.01820208,0.139868337,40.95,-0.362075996,3897784800,-0.36594197,125051,-0.155191549
